comentario,label_final,predicao_comum_3_modelos,condicao
Pra todos nós que Samos milhões de negros nessi país incruindo eu esse miZeravel tem que ser punido pela lei isso e inaceitável🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,0,instrucao_manual
Benedita não se altere porque esse ato cometido foi por gente que tem alma escura !,0,1,instrucao_manual
Até quando o STF vai trabalhar contra o país?,1,0,instrucao_manual
Lei da mordaça,0,1,instrucao_manual
"Que absurdo fizeram com ela,o Brasil precisa de você,e está fazendo um ótimo trabalho,indo atrás de pedófilos que estupram até bebês.",0,1,instrucao_manual
Um desgaste muito grande para o congresso nacional tem que ser punido severamente.,0,1,instrucao_manual
"Realmente , seria mais sensato que os filhos do Presidente permanecessem calados!!! 👍",1,0,instrucao_manual
Tomar o diploma dele,1,0,instrucao_manual
"O grupo é grande, com certeza tem mais políticos no meio.",1,0,instrucao_manual
"O tombo vai ser grande, eu vou aplaudir de pé.",1,0,instrucao_manual
Kkkkk bem afrontoso👏👏👏👏👏👏🙌,1,0,instrucao_manual
"Não tenha dúvidas, sem capim está sempre a sua disposição 😂😢",1,0,instrucao_manual
"Que absurdo, não sei como tem gente q assiste esse cara, e ainda acham graça 😔",0,1,instrucao_manual
@alice.lavigne.3388 NOJO! por isso prefiro assistir o fantástico aos fins de domingo. Porque contém informações e conteúdos!,1,0,instrucao_manual
"Sei não hein!? Pertinente, porém vejo um desvio de pensamento arquitetado aí!",1,0,instrucao_manual
Devia ter tido pena ANTES... bem ANTES 🤬,0,1,instrucao_manual
Ele está certo. Vai ter um monte de argentino faminto invadindo aqui,1,0,instrucao_manual
Os Robin Hood's do Brasil,0,1,instrucao_manual
Parabéns a garotinha do George Sorus. Uma laranjinha sendo usada pelas grandes corporações parabéns a menina usada por sua mãe e as gigantes de seu contrato.,1,0,instrucao_manual
"A grande destruição ambiental no Brasil ocorreu principalmente durante os anos que a europa nos colonizava e hj europeu vem nos dar lição de moral, isso é um grande hipocrisia. Deixando claro que votei em Haddad Nordeste13",1,0,instrucao_manual
Parabéns aos envolvidos! Faz arminha e grita mito.,1,0,instrucao_manual
Ainda bem que do PT e do Lula Ladrao só falamos a verdade.,1,0,instrucao_manual
Tem mtas outras pessoas q realmente merecem destaque!!! menos essa tal de Greta🙄,1,0,instrucao_manual
É o mito dos trabalhador,0,1,instrucao_manual
Já tá na hora de gravar vídeo com os caras da Galãs Feios,0,1,instrucao_manual
é preciso pensar 10 X antes de falar para depois ter que pedir desculpas . Certos Bolsonaros deviam aprender isso . um leão nuca pede desculpas ..,0,1,instrucao_manual
"Noh coisa feia duas deputadas do mesmo partido , com essas brigas sem fundamento.",0,1,instrucao_manual
"Eu quero mais mulheres na política, mas que não sejam iguais a você.",1,0,instrucao_manual
Aceitar comentários de Minions é de uma grandeza absoluta... só por isso tem meu voto eternamente,1,0,instrucao_manual
