comentario,label_final,predicao_comum_3_modelos,condicao
Também acho. Esse cara fala demais. Os filhos do bolsonaro acabam enfraquecendo o governo. Sempre disse issso desde o começo,0,1,instrucao_automatica
"Não aguento mais . Pelo amor de Deus , nesse País os poros dessas pessoas que respira Lula Credo! Chou coisa ruim . Oremos para vê se pensam em coisa sadia 🙏🙏",1,0,instrucao_automatica
"O AMAZONAS AGONIZA MAIS UMA VEZ, AGORA É QUALIDADE PÉSSIMA DE AR RELACIONADA A FUMAÇA CONSEQUÊNCIA DAS QUEIMADAS PROMOVIDA PELA AÇÃO HUMANA. Os humanos destruindo nosso meio ambiente, os animais que lá habitam e nos sufocando com essa fumaça insuportável",0,1,instrucao_automatica
Pra todos nós que Samos milhões de negros nessi país incruindo eu esse miZeravel tem que ser punido pela lei isso e inaceitável🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,0,instrucao_automatica
Benedita não se altere porque esse ato cometido foi por gente que tem alma escura !,0,1,instrucao_automatica
"Que bom que,as máscaras estão caindo rápido.",1,0,instrucao_automatica
Dupla imbatível nas argumentações inteligentes contra esse governo desgovernado que estamos pagando....aff,0,1,instrucao_automatica
Até quando o STF vai trabalhar contra o país?,1,0,instrucao_automatica
Lei da mordaça,0,1,instrucao_automatica
"Que absurdo fizeram com ela,o Brasil precisa de você,e está fazendo um ótimo trabalho,indo atrás de pedófilos que estupram até bebês.",0,1,instrucao_automatica
Isso é um tipo de violência contra a MULHER MINISTRA DAMARES. Tem q ser tomada uma providência.,0,1,instrucao_automatica
"Cortei inúmeras páginas que não é oficial, tem comunista que entra nesses grupos que fazem campanha até para não comer carne, é bom aí sobra e os produtores exportam mais ,E a greve segunda feira?.",1,0,instrucao_automatica
😂😂😂👏👏👏vc vai ser juíza do lula .imaginando,0,1,instrucao_automatica
Outra q não vou e essa Janaína fica em cima do muro o lado q tá ganhando e q ela vai,1,0,instrucao_automatica
Um desgaste muito grande para o congresso nacional tem que ser punido severamente.,0,1,instrucao_automatica
O pior é que as pessoas acham graça,0,1,instrucao_automatica
@jairmessiasbolsonaro Deveria fazer procedimento dentário todos os dias,0,1,instrucao_automatica
"Eu quero ver se o Tramp perder, vai ser melhor ainda.",0,1,instrucao_automatica
"Na verdade, a maior mensagem que eu tirei da propaganda foi 'tenha cachorros em casa pra espantar a dengue'",0,1,instrucao_automatica
"Realmente , seria mais sensato que os filhos do Presidente permanecessem calados!!! 👍",1,0,instrucao_automatica
Tomar o diploma dele,1,0,instrucao_automatica
"Se arrependimento matasse, eu e todos meus amigos e familiares a quem incentivei que votassem em vc estaríamos mortos!! 🤮",1,0,instrucao_automatica
"O grupo é grande, com certeza tem mais políticos no meio.",1,0,instrucao_automatica
"O tombo vai ser grande, eu vou aplaudir de pé.",1,0,instrucao_automatica
Kkkkk bem afrontoso👏👏👏👏👏👏🙌,1,0,instrucao_automatica
"Ai vem a hipocrisia, sou contra concurso de beleza pois mulher não é objeto, ok mas se a vencedora for Negra, ou qualquer representante de uma minoria ai tudo bem relativo isso.",1,0,instrucao_automatica
Estão querendo prender Lula de novo.,0,1,instrucao_automatica
É tem negro defendendo essa barbárie!,0,1,instrucao_automatica
"Que absurdo, não sei como tem gente q assiste esse cara, e ainda acham graça 😔",0,1,instrucao_automatica
Para com essa briga. Todo mundo erra. Seja compassiva com os outros. Ou aguentaremos os ladroes da esquerda.,1,0,instrucao_automatica
"Jornalistas babaca, somos todos Damares❤️❤️❤️",1,0,instrucao_automatica
Ele está certo. Vai ter um monte de argentino faminto invadindo aqui,1,0,instrucao_automatica
Kkkkk Mais afiado que tramontina😂💚💛,0,1,instrucao_automatica
Os Robin Hood's do Brasil,0,1,instrucao_automatica
Parabéns a garotinha do George Sorus. Uma laranjinha sendo usada pelas grandes corporações parabéns a menina usada por sua mãe e as gigantes de seu contrato.,1,0,instrucao_automatica
"Agora vai ser assim "" votem em quem eu indicar"" pelo amor de Deus para de frescura no toba e deixa o povo votar",1,0,instrucao_automatica
Parabéns aos envolvidos! Faz arminha e grita mito.,1,0,instrucao_automatica
Tem dinheiro... responde em liberdade 😡 lamentável,0,1,instrucao_automatica
"Esses filhos foram criados dessa maneira, falando o que pensam. Esquecem que estão no comando de uma grande nação. Precisam todos eles pensar melhor antes de falar.",0,1,instrucao_automatica
Os filhos do nosso Presidente poderiam calar à boca!!!,1,0,instrucao_automatica
Já tá na hora de gravar vídeo com os caras da Galãs Feios,0,1,instrucao_automatica
"Eu tenho ranço desse estocador de cocô, mas entendi o que ele quis dizer em relação à Roraima. A população desse estado teve muitos problemas com os imigrantes venezuelanos. Agora ele errou ao dizer, que um governo de esquerda na Argentina faria isso, está mais fácil a gente emigrar para lá se isso acontecer.",1,0,instrucao_automatica
é preciso pensar 10 X antes de falar para depois ter que pedir desculpas . Certos Bolsonaros deviam aprender isso . um leão nuca pede desculpas ..,0,1,instrucao_automatica
"Noh coisa feia duas deputadas do mesmo partido , com essas brigas sem fundamento.",0,1,instrucao_automatica
"Eu quero mais mulheres na política, mas que não sejam iguais a você.",1,0,instrucao_automatica
Aceitar comentários de Minions é de uma grandeza absoluta... só por isso tem meu voto eternamente,1,0,instrucao_automatica
Desiquilibrio total.,1,0,instrucao_automatica
Ou quando o Brasil estava sendo saqueado pelo PT? ?,1,0,instrucao_automatica
