id,comentario,anotator1,anotator2,anotator3,label_final,links_post,account_post,pred_sem_instrucao,erro_sem_instrucao,pred_instrucao_manual,erro_instrucao_manual,pred_instrucao_automatica,erro_instrucao_automatica
3865,Ja resolveu o problema do desemprego daqui???,0,0,0,0,https://www.instagram.com/p/B1EoGt2gdnT/,Manuela d'Ávila,0,False,0,False,1,True
5540,So tem petistas aqui agora kkk,0,0,0,0,https://www.instagram.com/p/B4TD6fRJ9yJ/,Joice Hasselmann,0,False,1,True,1,True
874,É a clara tentativa da globo de achar defeito em td do governo e tem gente que acredita nas informações dessa globolixo!,1,1,1,1,https://www.instagram.com/p/B4I9_wdHMYk/,Carla Zambelli,1,False,1,False,1,False
2481,Negar negar negar o lugar de vagabundo todo mundo sabe aonde é....,1,0,1,1,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann,1,False,1,False,1,False
4854,Que lindo! Representatividade imensa da educação.,0,0,0,0,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad,0,False,0,False,0,False
5184,É um concurso importante sim. Ponto. Olha o alcance que ele tem. Olha o alcance que o discurso dela está tendo. Não desmereça um concurso só por ser de beleza.,0,0,0,0,https://www.instagram.com/p/B52f10agU7G/,Manuela d'Ávila,0,False,0,False,0,False
1996,👏👏👏👏o capeta sendo capeta. Normal.,1,1,1,1,https://www.instagram.com/p/B3PK5rOhwtV/,Gleisi Hoffmann,1,False,1,False,1,False
6932,A máquina de realização Tarcísio… será presidente,0,0,0,0,https://www.instagram.com/p/C5duspiJ3-_/,Carla Zambelli,0,False,0,False,0,False
4078,Não existe capitalismo sustentável pois ele depende de crescimento infinito que lida com recursos finitos. Greta está corretíssima,0,0,0,0,https://www.instagram.com/p/B2xPpppAUaN/,Manuela d'Ávila,0,False,0,False,0,False
620,Os piores bandidos tão aí STF LIXOS,1,1,1,1,https://www.instagram.com/p/B1uwCHND_Z5/,Carla Zambelli,1,False,1,False,1,False
4274,"DEPUTADO NAO E O GABINETE do ÓDIO , MAS SIM DE UMA GRANDE JORNALISTA CANAL da LEDA NAGLE ! ENTREVISTA . PARABÉNS ! 👏👏👏👏👏💛👏👏🇧🇷👮‍♂️🇧🇷💚👮‍♂️💛👍👍👍👍🤝👮‍♂️🇧🇷👏👏VAMOS ASSISTIR ! TODOS ! 😂😂😂😂😂❤️😂😂😂😂😂😂😂👮‍♂️😂😂😂🇧🇷NÃO PERCAM !",0,0,0,0,https://www.instagram.com/p/B4K2nvnF3cE/,Eduardo Bolsonaro,0,False,1,True,0,False
449,Esse cara não consegue passar um dia a fazer merda!!!,1,1,1,1,https://www.instagram.com/p/B1EoGt2gdnT/,Manuela d'Ávila,1,False,1,False,1,False
646,"A nova Tábata da esquerda identitária . A queridinha do imperialismo ""verde"" ,empenhar que eu já achei que existia esquerda no Brasil .",1,1,0,1,https://www.instagram.com/p/B2xPpppAUaN/,Manuela d'Ávila,1,False,1,False,1,False
1809,A máscara dessa traidora Joice Falsemam durou menos,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli,1,False,1,False,1,False
271,A ONU é pior esquerda que temos no mundo atualmente.,1,0,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli,0,True,1,False,1,False
112,"VOCÊ TINHA DE TER PENA É QUANDO VÁRIOS BRASILEIROS MORRERAM NOS CORREDORES DOS HOSPITAIS PÚBLICOS POR CAUSA DAS ROUBALHEIRAS DOS CURRUPTOS, MAS VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli,1,False,1,False,1,False
4224,que lindo cortou cabelo,0,0,0,0,https://www.instagram.com/p/B1_m4F5lO_d/,Fernando Haddad,1,True,0,False,0,False
4855,Eternas SAUDDADS,0,0,0,0,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad,1,True,1,True,1,True
2452,Que seja condenado,1,1,0,1,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann,1,False,0,True,0,True
6531,A beleza e o ser divino juntos! Parabéns a vocês dois! Deus lhes abençoe 👏🙏,0,0,0,0,https://www.instagram.com/p/C1XMWmlsD72/,Manuela d'Ávila,0,False,0,False,0,False
2788,Cuidado ao defender uma militante de esquerda. Ela se apegou a uma causa que nao tem soluçao. Há muito por tras da farça que ela se expõe.,0,1,1,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann,1,False,1,False,1,False
